,fullTimeEmployees,auditRisk,overallRisk,dividendYield,payoutRatio,fiveYearAvgDividendYield,beta,forwardPE,averageVolume,marketCap,ebitdaMargins,earningsGrowth,returnOnEquity,Cluster_KMeans,Cluster_DBSCAN,Cluster_Hierarchical,PCA1,PCA2
381,2703.0,6.0,7.0,3.66,0.9576,2.49,1.112,31.37784,3951445.0,102371688448.0,0.70509005,1.024,0.06781,0,-1,0,4670551.924575806,-2311789.490667735
382,37936.0,4.0,6.0,4.91,0.6933,5.0,1.259,7.4928527,1758691.0,39011782656.0,0.051030003,0.0,0.09486,0,-1,0,-63355235276.995125,-2670827.09957741
383,13047.0,2.0,4.0,3.09,0.67800003,3.36,0.617,20.056509,2747562.0,40697532416.0,0.36978,-0.48,0.11218,0,-1,0,-61669485489.08561,-1730732.4741041497
384,7311.0,7.0,7.0,0.0,0.0,0.0,1.22,22.114286,1077167.0,18626156544.0,0.29955998,0.236,0.12994,0,-1,0,-83740861400.1865,-2762345.003368522
385,5900.0,3.0,4.0,4.08,1.1278,3.31,0.73,27.692379,714970.0,51637207040.0,0.70731,0.453,0.20927,0,-1,0,-50729810928.495026,-4079931.8066964233
386,6793.0,5.0,2.0,0.86,0.0558,1.02,1.725,7.5362964,2267685.0,20509255680.0,0.22227,0.348,0.274,0,-1,0,-81857762230.51974,-1626326.6746230423
387,58400.0,8.0,3.0,0.16,0.0614,0.22,1.101,25.028543,1696604.0,37685268480.0,0.0864,0.436,0.13623,0,-1,0,-64681749454.23318,-2694532.541015439
388,49000.0,2.0,2.0,2.23,0.3614,2.14,1.289,12.487327,7655965.0,168908324864.0,0.30923998,0.15,0.41968,0,-1,0,66541307047.2798,-532964.5928108324
389,45000.0,9.0,5.0,1.91,0.3849,1.89,0.919,17.144466,1084227.0,18569949184.0,0.19277,0.202,0.13835,0,-1,0,-83797068759.95259,-2753676.3385437145
390,14800.0,3.0,10.0,1.53,0.294,2.23,1.522,16.565283,881391.0,13321302016.0,0.1604,0.112,0.27571,0,-1,0,-89045715931.62958,-2804593.9290657346
391,19000.0,6.0,5.0,1.44,0.1807,1.43,1.053,12.478456,1382760.0,28484538368.0,0.0,0.233,0.19111,0,-1,0,-73882479571.46916,-2742074.357236271
392,186000.0,5.0,4.0,1.91,0.6986,2.6,0.491,21.558102,4961954.0,175858057216.0,0.15890001,0.049,0.08125,0,-1,0,73491039318.42198,-3428176.8691102327
